city,latitude,longitude
Hellerup,55.7336657,12.5655408
Lemvig,56.5486971,8.3046456
Hals,56.9963038,10.3084669
Sorø,55.4365822,11.5629363
Skive,56.6459244,8.932732160154906
Odense C,55.3997225,10.3852104
Glesborg,56.4775074,10.7254803
Varde,55.6176702,8.4811757
Nørresundby,57.0607251,9.9241319
Esbjerg V,55.4664892,8.4520751
Aarhus V,56.1496278,10.2134046
Løgstør,56.9625246,9.2619587
Ãrslev,,
Gentofte,55.7535946,12.541436
Hornbæk,56.0879176,12.4587803
København K,55.6867243,12.5700724
Snedsted,56.8917656,8.5231571
Holte,55.8125143,12.4687513
Store Fuglede,55.585523,11.2444141
Næstved,55.2328252,11.7674102
Aarhus C,56.1496278,10.2134046
Grenaa,56.4134419,10.8793137
Rønde,56.3015637,10.4754416
Fanø,55.4064775,8.424600204286886
Dragør,55.592487,12.6719953
Kongens Lyngby,55.7718649,12.5051413
Virum,55.7939593,12.4694709
København V,55.6867243,12.5700724
Aalborg,57.0462626,9.9215263
Odense N,55.3997225,10.3852104
Frederiksberg,55.678016,12.5326186
Pandrup,57.2094268,9.6790105
Greve,55.5833746,12.2999286
Odense M,55.3997225,10.3852104
Karrebæksminde,55.1780155,11.6468481
Grindsted,55.7570833,8.9277576
Jyderup,55.6605319,11.4081794
Vordingborg,55.0102518,11.9097478
Viborg,56.4469128,9.4059354
Knebel,56.2139417,10.4864395
Ringsted,55.446817,11.7975218
Tølløse,55.6108727,11.7704158
Hornslet,56.3137043,10.3159583
Aabybro,57.1606394,9.7339628
Klarup,57.0113058,10.0500412
Horslunde,54.9112213,11.2188932
Store Heddinge,55.3081175,12.3876252
Kirke Såby,55.6331744,11.8718541
Nykøbing F,54.7646137,11.8709918
Skjern,55.9469339,8.4909186
Otterup,55.5154338,10.4004689
Allerød,55.8707776,12.3556762
København S,55.652663,12.516279211759349
Silkeborg,56.169453,9.5495141
Kirke Hyllinge,55.7067551,11.8985429
Blåvand,55.55508715,8.101745847628894
Aabenraa,55.0446228,9.4209667
Munkebo,55.4568372,10.5536985
Holbæk,55.7186117,11.7135474
Kastrup,55.6357222,12.6469508
Skodsborg,55.8214676,12.5728477
Nykøbing M,56.7943811,8.8594834
København A,55.6867243,12.5700724
Ebeltoft,56.1988382,10.6770909
Hjallerup,57.1665803,10.1465801
Holstebro,56.3590324,8.6159188
Valby,55.6637755,12.5135924
Svendborg,55.0636515,10.6084501
Børkop,55.6409641,9.6492103
Vallensbæk Strand,55.62091005,12.386147789498956
Hadsten,56.3290887,10.0523863
Sakskøbing,54.798788,11.6341381
Risskov,56.2017679,10.2419582
Sæby,57.3312762,10.5198811
Brønderslev,57.2700129,9.9448631
Tinglev,54.9316288,9.2482003
Aulum,56.2649053,8.7869814
Herlev,55.7337193,12.429451647608476
Rungsted Kyst,55.8824425,12.5315085
Sunds,56.2043516,9.0148142
Hammel,56.2526132,9.8610556
Toftlund,55.1866229,9.0669072
Struer,56.4866768,8.5951427
Kalundborg,55.6833793,11.0993619
Glostrup,55.6835672,12.4128011280619
Fredericia,55.565268,9.7562169
Hillerød,55.9285735,12.3063909
Assens,55.265798,9.9002174
Langå,56.390979,9.8936301
Vejle,55.707931,9.5329419
Rødovre,55.6648012,12.4591846
Løsning,55.8028335,9.6969725
Frederiksværk,55.9719082,12.0174311
Løkken,57.3704858,9.7112502
Haarby,55.2203305,10.1258184
Fjenneslev,55.4395395,11.6699861
Albertslund,55.6586018,12.3562849
Ringkøbing,56.0905708,8.2540637
Hundested,55.9668501,11.8515494
Stege,54.9863794,12.2861344
Aars,56.8033777,9.5168986
Frederikshavn,57.4412134,10.5336225
Tisvildeleje,56.0593898,12.0779859
Vodskov,57.1095604,10.0228291
Regstrup,55.6736163,11.6185139
Væggerløse,54.7106985,11.9252193
Lejre,55.6043432,11.9737103
Billund,55.7247018,9.1195835
Viby J,56.1220185,10.1596948
Sjællands Odde,55.97177885,11.344067922235686
Fjerritslev,57.088801,9.2731047
Farsø,56.7722256,9.3399599
Slagelse,55.4061196,11.3525415
Blokhus,57.2523474,9.5842346
Roskilde,55.6433478,12.0819247
Gilleleje,56.1244169,12.3124485
Melby,55.996161,11.9675338
Præstø,55.1178943,12.0538374
Slangerup,55.8455905,12.1743536
Odense SA,55.3997225,10.3852104
Saltum,57.2711553,9.6984206
Harboøre,56.6174264,8.1806946
Hadsund,56.7193519,10.1151108
Solrød Strand,55.534253,12.2193108
Hjørring,57.457183,9.9855998
Vejby,56.0655361,12.140853
Spjald,56.1276147,8.5069209
Grevinge,55.7995774,11.5518504
Søborg,55.736468,12.5088728
København SV,55.6867243,12.5700724
Gørlev,55.5404225,11.2272253
Mariager,56.6488769,9.976727
Helsingør,56.0348739,12.6130073
Asnæs,55.8148175,11.5006395
Nakskov,54.8304979,11.1493517
Henne,55.7103473,8.3043317
Hvide Sande,56.0057884,8.1288435
Gråsten,54.9140178,9.5866302
Idestrup,54.7427332,11.9583204
Maribo,54.7758018,11.5054333
Engesvang,56.1703216,9.3511945
Vester Skerninge,55.0729467,10.4513508
Jerslev Sjælland,55.6115001,11.2363582
Fårevejle,54.916950400000005,10.70665008527278
Brædstrup,55.9722463,9.610092
Dronningmølle,56.0976319,12.3875631
Alsted,55.4056535,11.6671785
Ulfborg,56.2723603,8.3166504
Odense S,55.3543016,10.3675092
Nørre Aaby,55.457787,9.878534
Avernakø,55.0286847,10.25479342222469
Karup J,56.3111225,9.1706768
Vojens,55.2464268,9.3082416
Nibe,56.9823812,9.6428712
Asaa,57.1494732,10.4034857
Ansager,55.7049419,8.7526017
Ulstrup,55.5398998,11.255485827439024
Aster Ulslev,,
Odder,55.975832,10.1513202
Odense SV,55.3601453,10.3502281
Liseleje,56.0122429,11.9648192
Stenstrup,55.1312253,10.5055475
Erslev,56.830027,8.7509076
Odense NV,,
Vedbæk,55.8540912,12.5653124
Thisted,56.9562093,8.6848749
Alstykke,,
Bogø By,54.9232677,12.0528486
Løgumkloster,55.0595541,8.9568232
Højby,55.9103711,11.5970027
Ishøj,55.613379,12.3578947
Tarm,55.9065375,8.5192054
Brøndby,55.644111,12.4217135
Mørkøv,55.6514011,11.5021188
Rømø,55.13513295,8.513828970148085
Vejers Strand,55.6262677,8.1235257
Juelsminde,55.7086794,10.0104758
Søndersø,54.7565649,11.506368029114672
Ans By,,
Jægerspris,55.8505813,11.9916517
Hørsholm,55.8832986,12.5000112
Aalestrup,56.6952989,9.4930029
Randers NV,,
Charlottenlund,55.7552973,12.5671103
Gislev,55.2172001,10.5977136
Spøttrup,56.63964015,8.782827996492898
Randers NA,56.4617545,10.0371476
Jyllinge,55.7535209,12.1086079
Gistrup,56.9934443,9.9885675
Bogense,55.5640146,10.092085
Skagen,57.7259703,10.5844602
Rødby,54.6940639,11.3902205
Nykøbing Sj,55.9217056,11.6733626
Eskilstrup,54.8568436,11.8840358
Espergærde,55.9907777,12.5529633
Brønshøj,55.704111,12.4985492
Tårs,54.8831014,11.0271943
Klemensker,55.1741032,14.8063219
Herning,56.1379757,8.9746623
Ullerslev,55.3615271,10.6630468
Hasselager,56.112696,10.101558271064334
Højbjerg,56.1133853,10.206361
Brovst,57.0973209,9.5228664
Padborg,54.8295003,9.3606529
Horsens,55.8611696,9.8444774
Brørup,55.4846109,9.0155482
Ringe,55.2351317,10.481895
Farum,55.8101232,12.3702505
Middelfart,55.44699795,9.93698602688241
Rønne,55.0994511,14.7060906
Kokkedal,55.9032608,12.5024245
Arden,56.7678869,9.8568821
Ãrre,,
Samsø,55.88333495,10.6114771899923
Korsør,55.3266045,11.1425876
Kjellerup,56.2834926,9.4400132
København N,55.6867243,12.5700724
Ry,56.0883559,9.7718753
Skibby,55.7500014,11.9619362
Esbjerg,55.4664892,8.4520751
Tureby,55.3734096,12.0760275
Vadum,57.1155958,9.8589601
Thyborøn,56.6981186,8.2117981
Veksø Sjælland,55.742384,12.234798
Hvidovre,55.6644909,12.4750154
Tørring,55.8499627,9.483801
Tranekær,54.9974289,10.8470786
Frederiksberg C,55.6534,11.291489
Rørvig,55.9452985,11.7613881
Bramming,55.4655911,8.7027506
Læsø,57.2719765,10.99320532798637
Værløse,55.783333,12.383333
Græsted,56.0631535,12.2843814
Nordhavn,55.7049718,12.5910118
Gjern,56.2264181,9.7393316
Rønnede,55.2563089,12.0284843
Vig,55.8519079,11.5845861
Høng,55.5084661,11.2927612
Tønder,54.9380637,8.8629408
Hampen,56.0180516,9.3550209
Hurup Thy,56.7511648,8.4178998
København NV,,
Sønder Omme,55.8390485,8.8937974
Kolding,55.4894999,9.47905
Daugård,55.7356553,9.7095269
Ejby,55.4278872,9.930492
Skælskør,55.2521101,11.2942011
Egtved,55.6157026,9.3092296
Hobro,56.6371753,9.7939799
Herlufmagle,55.3135052,11.752538
Rudkøbing,54.9377498,10.7167568
Sporup,56.2249776,9.8237345
Jelling,55.7529724,9.4210553
Haderslev,55.2500715,9.4997871
Lundby,54.9916427,10.6083754
Sønderborg,54.9089186,9.7897999
Helsinge,56.0211073,12.1951087
Vestervig,56.7623851,8.318305
Aalborg SV,57.0462626,9.9215263
Bagsværd,55.7583936,12.4573112
Kongerslev,56.8861935,10.1146692
Hørning,56.0859191,10.0356047
Skærbæk,55.157032,8.765738
Tjele,56.5120126,9.6099502
Vamdrup,55.4284473,9.2889565
Ãlsgårde,,
Taastrup,55.6522136,12.292049
Thyholm,56.6342179,8.539353455465557
Sydals,54.92394,9.794939
Brabrand,56.1565872,10.1056465
Sindal,57.4755132,10.1994273
Rødding,55.3680577,9.0581471
Brenderup Fyn,,
Vemb,56.3439338,8.3386659
Ribe,55.3284036,8.7647838
Hedehusene,55.6480127,12.1968926
Torrig L,54.9076279,11.323648
Skårup Fyn,,
Nivå,55.935056,12.5013529
Bredsten,55.7025335,9.3848026
Kerteminde,55.4532771,10.6547783
Orø,55.779682699999995,11.811672512192652
Strandby,57.4926713,10.4978821
Ikast,56.1390178,9.1547931
Morud,55.4477763,10.1890722
Vipperød,55.6679143,11.7390943
Tommerup,55.3205379,10.205183
Aalborg SA,57.0462626,9.9215263
Lynge,55.839462,12.2747763
Hørve,55.7529724,11.4510369
Stubbekøbing,54.888364,12.0381564
Bælum,56.8307655,10.1166943
Roslev,56.7040127,8.9841309
Brøndby Strand,55.6209884,12.4218624
Randers C,56.4637091,9.9861898
Give,55.845552,9.2401542
Sandved,55.2626288,11.5208995
Aakirkeby,55.0692055,14.9207977
Kruså,54.8479278,9.4075596
Skævinge,55.9087945,12.1552989
Karise,55.308366,12.1983778
Agedrup,55.4298186,10.4858358
Allinge,55.2746124,14.799119
Faaborg,55.097087,10.2428246
Holmegaard,55.2860481,11.8148839
Vanløse,55.690054,12.483516
Rask Mølle,55.8720064,9.6109557
Hemmet,55.8496544,8.3724097
Fredensborg,55.9821565,12.395091144755735
Føllenslev,55.7257505,11.3508868
Bylderup-Bov,54.9441897,9.0910721
Nyborg,55.3098281,10.7976604
Bevtoft,55.1986658,9.2068818
Fårvang,56.2681439,9.7267735
Randers SV,56.4355428,10.0425957
Snekkersten,56.0107273,12.579952
Augustenborg,54.9506719,9.8743203
Hårlev,55.3489261,12.2300148
Tune,55.5957,12.1818152
Svinninge,55.7200463,11.4613759
Lem St,56.02807165,8.384925956494602
Solbjerg,56.0397896,10.0904237
Astbirk,,
Spentrup,56.5359106,10.0346886
Faxe Ladeplads,55.22086,12.1690321
Højslev,56.5857922,9.136184582277409
Kibæk,56.0349566,8.8583992
Gudhjem,55.2112235,14.9704119
Snertinge,55.7135915,11.3826352
Odense NA,55.3997225,10.3852104
Tranbjerg J,56.1037342,10.1454225
Arsted,,
Nordborg,55.0553387,9.7470524
Randers SA,56.4355428,10.0425957
Nørreballe,54.8062652,11.4301263
Bryrup,56.0231999,9.5231724
Birkerød,55.8403369,12.4287796
Hasle,55.1838021,14.7061711
Jystrup Midtsj,,
Smørum,55.7158721,12.3196104
Holeby,54.7105473,11.4663897
Haslev,55.3271115,11.9567297
Harndrup,55.4649229,10.0200671
Ballerup,55.7303589,12.3612313
Stenlille,55.5399115,11.5921211
Malling,56.0387694,10.1944889
Mern,55.0484274,12.0556557
Ãbyhøj,,
Rude,55.2330518,11.4682887
Ãrøskøbing,,
Trige,56.254145,10.1453751
Køge,55.4565009,12.1818964
Skovlunde,55.7230635,12.4027132
Aarhus N,56.2237693,10.1238136
Egå,56.2153497,10.266729
Aalborg Ast,,
Havdrup,55.5440887,12.1204226
Holsted,55.5059786,8.9151177
Vinderup,56.4778422,8.7828263
Munke Bjergby,55.5052672,11.5225805
Agerskov,55.130201,9.1288286
Hvalsø,55.5953424,11.8592384
Svaneke,55.136227,15.1411115
Rødekro,55.0696081,9.3410181
Sorring,56.1774826,9.7756433
Nørre Alslev,54.8970181,11.8762497
Humlebæk,55.9618789,12.5305462
Tistrup,55.7186632,8.6065188
Frørup,55.2418334,10.7145452
Vejen,55.4743417,9.1317951
Hinnerup,56.2678199,10.0688688
Gram,55.2869915,9.0463292
Sulsted,57.1669315,9.9525511
Bindslev,57.541075,10.1977563
Støvring,56.8847204,9.833064
Glamsbjerg,55.2783263,10.1087429
Frederikssund,55.8417752,12.063595
Aarup,55.3763248,10.0510648
Hjerm,56.4382927,8.6410046
Mårslet,56.0671183,10.1624575
Herfølge,55.4138346,12.1411987
Galten,56.154066,9.9098817
Hesselager,55.1722159,10.7395982
Tim,56.1965544,8.3033203
Stenløse,55.7668501,12.1900778
Faxe,55.2521203,12.1142399
Videbæk,56.0893891,8.6295216
Arum Djurs,,
Løgstrup,56.5119795,9.3370029
Bjert,55.4591246,9.5571613
Kirke Eskilstrup,55.5737227,11.7679357
Astervrå,,
Trustrup,56.3507254,10.7715962
Karlslunde,55.566255,12.2697411
Oksbøl,55.6235883,8.278167
Nexø,55.0650145,15.1307273
Esbjerg A,55.4708026,8.424586440014792
Dyssegård,55.7323761,12.5360326
Tappernøje,55.1648293,11.9793075
Havndal,56.6522516,10.1970076
Humble,54.8284338,10.6996214
Fuglebjerg,55.3029071,11.5448821
Vallensbæk,55.633558449999995,12.369932398108697
Sjølund,55.4013985,9.5290625
Stoholm Jyll,,
Rødvig Stevns,55.2534885,12.375378056862749
Gedser,54.5770446,11.9313561
Ugerløse,55.5853278,11.6548735
Dronninglund,57.158303,10.2900877
Hjortshøj,56.2478414,10.2682671
Klampenborg,55.7721016,12.5810845
Nærum,55.8138743,12.5281913
Lunderskov,55.4836316,9.3002816
Nørre Nebel,55.7775502,8.2900844
Arbæk,56.83657346378817,8.549384742338693
Tilst,56.1921152,10.1117391
Gislinge,55.7334705,11.545304
Ryomgård,56.3842243,10.5020848
Billum,55.6160609,8.3319033
Højer,54.9638824,8.69514
Lille Skensved,55.5101491,12.138218
Bjerringbro,56.3758414,9.656576
Nysted,54.6627868,11.7330766
Toreby L,54.7534771,11.7878775
Hirtshals,57.5908031,9.9649737
Store Merløse,55.5444765,11.7145157
Møldrup,56.614641,9.5011335
Bolderslev,54.9897782,9.2835059
Ãlbæk,,
Lystrup,56.2363205,10.238378
Glejbjerg,55.5581691,8.8262584
Vildbjerg,56.1965014,8.767696
Storvorde,57.0034949,10.0996971
Skødstrup,56.2629757,10.3039321
Haderup,56.6974776,10.1243262
Sabro,56.2121365,10.0341514
Tylstrup,57.195294,9.951413
Gørløse,55.8852394,12.197972
Hejls,55.3830704,9.5753221
Brande,55.9445468,9.1282868
Glumsø,55.3544773,11.6880884
Fur,56.82134275,9.00203029684612
Skanderborg,56.0351868,9.9317878
Ferritslev Fyn,,
Svebølle,55.650812,11.2867244
Dalmose,55.2954669,11.416817
Blommenslyst,55.3907288,10.2622491
Millinge,55.1304185,10.2157771
Vejle Ast,,
Gelsted,55.3975498,9.9733782
Rynkeby,55.3978137,10.610253809878458
Harlev J,56.1466687,9.996093
Låsby,56.1526374,9.809458
Esbjerg N,55.5070081,8.5028922
Auning,56.4314503,10.3781855
Skals,56.5566335,9.4048077
Horbelev,54.8231469,12.057096
Langeskov,55.3582245,10.5831493
Them,56.0901518,9.5465183
Beder,56.0600403,10.2089405
Hedensted,55.7705233,9.6994255
Hornsyld,55.7568412,9.8563818
Eskebjerg,55.7131534,11.3051658
Ryslinge,55.2354677,10.5350416
Nørre Snede,55.9654168,9.3931535
Fårup,56.5445686,9.8487711
Broager,54.8892125,9.6675155
Bredebro,55.0556028,8.8270664
Terndrup,56.8131718,10.0598073
Asperup,55.48201205,9.901739618793684
Langebæk,54.9974289,12.0908672
Jerup,57.533332,10.4205098
Marslev,55.3902304,10.5213062
Sønder Felding,55.9388658,8.7828398
Errindlev,54.6670551,11.4954839
Tikøb,56.0208025,12.4518018
Hovedgård,55.9453819,9.9565056
Egernsund,54.9065871,9.6032632
Nørager,56.7065701,9.630736
Janderup Vestj,,
Bjæverskov,55.4592469,12.0283637
Thorsø,56.3012653,9.7887862
Arnhøj,55.7837323,11.8374202
Christiansfeld,55.3589729,9.4905139
Måløv,55.7473861,12.3181279
Kolind,56.3581302,10.5847907
Skørping,56.8383525,9.8913283
Dannemare,54.7604347,11.1879332
Tjæreborg,55.4643476,8.5857229
Gedsted,56.6892939,9.3334277
Vissenbjerg,55.3863025,10.1315832
Svenstrup J,56.9773211,9.8525837
Strøby,55.3833436,12.282865
Bagenkop,54.7495173,10.6751651
Almind,55.5646234,9.4907578
Borup,55.4954852,11.9832516
Ejstrupholm,55.9843819,9.2930027
Mørke,56.3345618,10.377531
Viuf,55.5857673,9.4906425
Ebberup,55.2421087,9.9736869
Allingåbro,56.4643421,10.336854
Søby Ãrø,,
Nørre Asmindrup,55.882272,11.6082052
Anholt,56.71282975,11.562026006688171
Broby,55.2547103,10.2322458
Jerslev J,57.2847448,10.0932326
Dianalund,55.5289218,11.4943548
Tunø,55.9520828,10.438164809419645
Astermarie,,
Askeby,54.9198624,12.1728877
Veflinge,55.4707843,10.1595318
Algod,,
Gørding,55.4734235,8.7999523
Hanstholm,57.1150165,8.6144947
Ruds Vedby,55.5410589,11.3793898
Sejerø,55.8869999,11.146533415331492
Kværndrup,55.1783707,10.5256048
Suldrup,56.8483838,9.7006273
Stouby,55.7030191,9.7900425
Vrå,57.3532646,9.9452931
Redsted M,56.7394114,8.6528944
Bække,55.5702937,9.1377573
Vestbjerg,57.1305808,9.9666992
Kalvehave,54.9977367,12.1631205
Kvistgård,55.9899825,12.4976071
Sønder Stenderup,55.4614409,9.61440834749848
Gredstedbro,55.3980215,8.7426321
Martofte,55.5435579,10.6593968
Guldborg,54.8717325,11.7447134
Harpelunde,,
Viby Sjælland,55.5497139,12.0243564
Outrup,55.7217329,8.3435414
Vemmelev,55.3626545,11.2575985
Dybvad,57.2744567,10.3611597
Gadbjerg,55.7709233,9.3208133
Stokkemarke,54.8368883,11.3647404
Sørvad,56.2623779,8.6538053
Skamby,55.519663,10.2745249
Femø,54.96935985,11.541101239702034
Lintrup,55.40964335,8.972439613346271
Gadstrup,55.5720043,12.0938444
Vils,56.7628666,8.7291569
Odense V,55.3862799,10.2200831
Bording,56.1465072,9.2753054
Stenderup,55.7914096,9.8079613
Jordrup,55.5588855,9.3119454
Lemming,56.2396476,9.5458156
Boeslunde,55.3026906,11.2649511
Branderup J,55.1220082,9.0686157
Vorbasse,55.6299331,9.0814844
Aster Assels,,
Rødkærsbro,56.3514755,9.5101207
Gesten,55.5255015,9.2028076
Frøstrup,57.0868956,8.9960835
Gedved,55.9282404,9.8469901
Borre,54.9955229,12.4487267
Dalby,55.3112964,12.063853
Søllested,54.8124093,11.2709858
Årre,55.5733106,8.6653697
Kettinge,54.6954788,11.7292711
Bjørnø,55.06262495,10.250349709274516
Klippinge,55.3486722,12.32683
Balle,56.3156204,10.8077359
Marstal,54.8558332,10.5174056
Gudme,55.149424,10.7062309
Bækmarksbro,56.4164741,8.3084214
Hejnsvig,55.693594,8.9953244
Strynø,54.904216899999994,10.610147002683757
Uldum,55.8476686,9.5867407
Sommersted,55.3191435,9.2996743
Bøvlingbjerg,56.4352017,8.2029629
Gandrup,57.0566331,10.177441
Føvling,55.4511452,8.9358021
Barsø,55.1207147,9.55854925525199
Bedsted Thy,56.8094821,8.4056568
Vandel,55.7086234,9.213503
Omø,55.1582696,11.14957989972121
Oure,55.1207773,10.72482
Stensved,54.9963766,12.0272237
Klovborg,55.9319642,9.4905654
Gjerlev J,56.5865836,10.1323032
Ranum,56.8967933,9.2296384
Agersø,55.2174327,11.184306651304228
Randbøl,55.69460155,9.247251966050172
Vesløs,57.036484,8.9716144
Fejø,54.94477765,11.401044126066182
Karby,56.75385485,8.560767009894258
Vonge,55.8613336,9.419654
Agerbæk,55.6010876,8.7984877
Nyrup,55.5427639,11.6501383
Nimtofte,56.408874,10.567359
Flemming,55.8717912,9.6612951
Bandholm,54.8364445,11.4830145
Mesinge,55.5013652,10.6487936
Lyø,55.0485516,10.149878273756968
Barrit,55.7090592,9.8969878
Hundslund,55.9153605,10.0527531
Endelave,55.7675093,10.312636430160268
Vejstrup,55.1062044,10.7114124
Gudbjerg Sydfyn,55.154655,10.667776
Hellebæk,56.0739418,12.5488104
Hovborg,55.6049888,8.9406207
Stakroge,55.8902388,8.8496958
Vesterborg,54.8567673,11.2719995
Askø,54.8934613,11.49159722103522
Randers NØ,56.4617545,10.0371476
